------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.8   	2.8   	6     	3.175e+17  	40.31  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.1   	2.5   	5.5   	5.657e+17  	37.34  	2     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.7   	3.1   	6     	3.175e+17  	41.42  	3     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.9   	2.8   	6     	3.175e+17  	40.22  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.4   	3.8   	5.3   	1.782e+15  	27.28  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.6   	2.7   	6     	3.775e+17  	40.11  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 2.8   	2.5   	3     	6.727e+17  	14.37  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.5   	2.9   	4.2   	1.562e+15  	28.86  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.5   	2.9   	4.2   	3.125e+13  	28.84  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.5   	2.9   	4.2   	3.125e+14  	28.84  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 3.4   	2.8   	4.1   	3.125e+14  	27.86  	2     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.5   	3.9   	5.2   	1.782e+15  	22.79  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.5   	3.9   	5.2   	1.782e+15  	22.79  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.65  	3.97  	5.45  	1.424e+15  	22.72  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 2.2   	2     	2.4   	8.839e+15  	32.3   	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 2.2   	2     	2.4   	8.839e+15  	32.3   	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 5     	4.2   	5.8   	1.562e+15  	23.78  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 5     	4.2   	5.8   	1.562e+15  	23.78  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 5     	4.2   	5.8   	1.562e+15  	23.78  	1     	1     	0     	1      	Te_All              
------NomFichier------	 TeOpt 	TeMin 	TeMax 	NeOpt    	% STD 	Poids 	exp 	HighP 	AutoAbs 	Commentaire
NEW0003.trtx          	 4.6   	4     	5.3   	1.562e+15  	22.73  	1     	1     	0     	1      	Te_All              
